Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Oklahoma(4000000),40,32.9,44.24,92020,7.1,20.39,22.29,44.18,56.42,61.68,42410,46370,91890,117350,128300,0.026,0.15
Oregon(4100000),220,19.6,58.97,122670,6.4,32.55,47.11,58.29,65.44,84.05,67700,97980,121250,136110,174830,0.115,0.68
Pennsylvania(4200000),1980,9,59.09,122910,3,31.34,39.29,50.11,69.44,98.86,65190,81720,104230,144440,205620,0.341,2.02
Puerto Rico(7200000),30,4.5,33.77,70240,0.9,18.59,27.36,37.31,38.92,38.92,38670,56910,77600,80960,80960,0.035,0.21
Rhode Island(4400000),110,11.8,59.32,123390,3.3,28.52,36.29,47.06,67.23,98.37,59330,75470,97890,139830,204610,0.223,1.32
South Carolina(4500000),120,19.8,55.34,115110,1,36.82,39.04,49.52,70.59,82.43,76580,81200,103010,146840,171450,0.055,0.32
South Dakota(4600000),60,30.1,60.21,125240,10.2,47.38,47.95,50.77,72.08,76.32,98550,99740,105610,149920,158750,0.131,0.77
Tennessee(4700000),590,15.1,44.36,92260,3,29.92,36.8,39.59,48.61,60.55,62240,76540,82340,101100,125940,0.19,1.12
Texas(4800000),1050,5.7,54.04,112400,0.9,32.31,38.78,52.11,65.93,79.03,67200,80670,108390,137130,164390,0.081,0.48
Utah(4900000),180,30.4,41.69,86710,17.8,22.38,24.01,29.37,61.75,83.36,46550,49940,61090,128440,173390,0.113,0.67
Vermont(5000000),100,37.2,59.4,123560,6.4,38.17,38.91,46.33,77.53,93.67,79400,80930,96360,161270,194840,0.329,1.94
Virginia(5100000),270,9.7,60.86,126580,3.5,32.35,39.26,54.92,78.57,91.85,67300,81660,114230,163430,191050,0.069,0.41
Washington(5300000),270,11.3,61.21,127310,2.4,38.57,49.76,60.05,72.93,81.76,80220,103510,124910,151690,170060,0.079,0.47
Wisconsin(5500000),920,7.7,60.09,124980,3.1,30.69,38.98,52.22,76.05,94.09,63840,81080,108610,158190,195700,0.326,1.93
