"","job.title","company.name","location","job.description","job.seen.beacon","job.id","location.type"
"61","Sports Statistician","Life Time","New York, NY+32 locations","Tracks all relevant statistics during games.
 Works closely with League Coordinator to ensure member satisfaction.
 High School Diploma or GED.","Sports StatisticianLife Time3.5New York, NY+32 locationsTracks all relevant statistics during games.
 Works closely with League Coordinator to ensure member satisfaction.
 High School Diploma or GED.
30+ days ago·More...View all Life Time jobs in New York, NY - New York jobsSalary Search: Sports Statistician salaries in New York, NYSee popular questions & answers about Life Time","job_2665b5989b432684",""
"71","Chief Data Scientist","ExperienceFlow Inc","","Provide leadership, management and technical vision to a team of data scientists, machine learning engineers and big data specialists.","newChief Data ScientistExperienceFlow IncRemote$90 - $125 an hourEasily applyProvide leadership, management and technical vision to a team of data scientists, machine learning engineers and big data specialists.
1 day ago·More...View all ExperienceFlow Inc jobs in Remote - Remote jobsSalary Search: Chief Data Scientist salaries in Remote","job_39d18bc19d47933c","Remote"
"81","Data Scientist, Listening Experience Insights","Spotify","New York, NY•","Work closely with the team including data engineering to build lasting solutions to our data modeling.
 Contribute to the development of the Product Insights…","Data Scientist, Listening Experience InsightsSpotify4.3New York, NY•RemoteWork closely with the team including data engineering to build lasting solutions to our data modeling.
 Contribute to the development of the Product Insights…
30+ days ago·More...View all Spotify jobs in New York, NY - New York jobsSalary Search: Data Scientist, Listening Experience Insights salaries in New York, NYSee popular questions & answers about Spotify","job_2136428953387960","Remote"
"91","Data Scientist","Gauntlet","","Build data models and visualizations of public blockchain data and simulation results that provide intuitive analytics to customers.","Data ScientistGauntletRemote$115,000 - $170,000 a yearEasily applyBuild data models and visualizations of public blockchain data and simulation results that provide intuitive analytics to customers.
Active 5 days ago·More...View all Gauntlet jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_5304a1e8e9f9bb40","Remote"
"101","Data Scientist (Machine Learning+ NLP+ AWS)","Crackajack Solutions","","Experience in one or more of the following commercial/open-source data discovery/analysis platforms: [RStudio, Spark,.","newData Scientist (Machine Learning+ NLP+ AWS)Crackajack SolutionsRemote$180,000 - $200,000 a yearEasily applyExperience in one or more of the following commercial/open-source data discovery/analysis platforms: [RStudio, Spark,.
Today·More...View all Crackajack Solutions jobs in Remote - Remote jobsSalary Search: Data Scientist (Machine Learning+ NLP+ AWS) salaries in Remote","job_883d16edf8d9fdfd","Remote"
"111","Data Scientist","Nousot","","A passionate team of engineers and data scientists.
 Work to develop data engineering and machine learning modeling products in Python.","Data ScientistNousotRemote$120,000 - $160,000 a yearEasily applyResponsive employerA passionate team of engineers and data scientists.
 Work to develop data engineering and machine learning modeling products in Python.
Active 2 days ago·More...View all Nousot jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_f3f3756e797112df","Remote"
"121","Fashion Marketing Jr. Data Scientist","Crosswalk NYC","New York, NY 10007 (Tribeca area)•","Research industry-specific best practices and category trends as applicable against consumer data.
 The Jr. Data Scientist will help discover information hidden…","newFashion Marketing Jr. Data ScientistCrosswalk NYCNew York, NY 10007 (Tribeca area)•RemoteEasily applyResearch industry-specific best practices and category trends as applicable against consumer data.
 The Jr. Data Scientist will help discover information hidden…
Active 4 days ago·More...View all Crosswalk NYC jobs in New York, NY - New York jobsSalary Search: Fashion Marketing Jr. Data Scientist salaries in New York, NY","job_deb0811dac91f3d7","Remote"
"131","Data Scientist","DataDog","New York, NY","Use machine learning and statistics to build production models that drive business analytics and decision-making internally.","newData ScientistDataDog4.0New York, NYUse machine learning and statistics to build production models that drive business analytics and decision-making internally.
5 days ago·More...View all DataDog jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about DataDog","job_faef719b220ba614",""
"141","Data Scientist","Source Enterprises","New York, NY 10036 (Midtown area)","Stay current on modern trends and advances in data mining technology.
 Work with our industry experts to gain unrivaled knowledge at both the strategic level …","Data ScientistSource Enterprises4.3New York, NY 10036 (Midtown area)Stay current on modern trends and advances in data mining technology.
 Work with our industry experts to gain unrivaled knowledge at both the strategic level …
30+ days ago·More...View all Source Enterprises jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_1636faa0308fd08f",""
"151","Arity- Data Scientist- Full Time","Allstate","Northbrook, IL•","This includes: the development and execution of new machine learning predictive modeling algorithms, the coding/development of tools that use machine learning…","Arity- Data Scientist- Full TimeAllstate3.7Northbrook, IL•Remote$84,000 - $94,000 a yearThis includes: the development and execution of new machine learning predictive modeling algorithms, the coding/development of tools that use machine learning…
19 days ago·More...View all Allstate jobs in Northbrook, IL - Northbrook jobsSalary Search: Arity- Data Scientist- Full Time salaries in Northbrook, ILSee popular questions & answers about Allstate","job_e7ae9a9b0be3f230","Remote"
"id2","Data Scientist - Remote Contract","InfoMagnus","","Performs data quality audits, QA tags, identifies data collection issues, suggests improvements and work to implement fixes.
 A/B testing: 3 years (Required).","newData Scientist - Remote ContractInfoMagnusRemote$65 - $75 an hourEasily applyResponsive employerPerforms data quality audits, QA tags, identifies data collection issues, suggests improvements and work to implement fixes.
 A/B testing: 3 years (Required).
Active 2 days ago·More...View all InfoMagnus jobs in Remote - Remote jobsSalary Search: Data Scientist - Remote Contract salaries in Remote","job_68981d947da69ed0","Remote"
"22","Data Scientist","ViacomCBS","New York, NY 10019 (Midtown area)","Them into data science / data engineering design specs.
 Collaborate with data engineers to design and integrate new data sources.","Data ScientistViacomCBS3.9New York, NY 10019 (Midtown area)Them into data science / data engineering design specs.
 Collaborate with data engineers to design and integrate new data sources.
16 days ago·More...View all ViacomCBS jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about ViacomCBS","job_54bd10753410ca94",""
"32","Data Scientist, Creator Business Analysis","Spotify","New York, NY•","Partner closely with other data scientists and data engineers to help inform, build and test hypotheses, delivering insights to fuel our products.","Data Scientist, Creator Business AnalysisSpotify4.3New York, NY•RemotePartner closely with other data scientists and data engineers to help inform, build and test hypotheses, delivering insights to fuel our products.
30+ days ago·More...View all Spotify jobs in New York, NY - New York jobsSalary Search: Data Scientist, Creator Business Analysis salaries in New York, NYSee popular questions & answers about Spotify","job_91d380e2d13a3f53","Remote"
"42","Remote Data Scientist (contract)","Pfizer","","Fluency in R, including shiny, Bioconductor, data manipulation (tidyverse), and data visualization (ggplots, plotly).","Remote Data Scientist (contract)Pfizer4.2RemoteFluency in R, including shiny, Bioconductor, data manipulation (tidyverse), and data visualization (ggplots, plotly).
28 days ago·More...View all Pfizer jobs in Remote - Remote jobsSalary Search: Remote Data Scientist (contract) salaries in RemoteSee popular questions & answers about Pfizer","job_4e7590a713871c8d","Remote"
"52","Associate Data Scientist, Ads","Spotify","New York, NY•","It is a plus if you have a proven experience with hands-on sophisticated statistical modeling and machine learning to generate insights and influence product…","Associate Data Scientist, AdsSpotify4.3New York, NY•RemoteIt is a plus if you have a proven experience with hands-on sophisticated statistical modeling and machine learning to generate insights and influence product…
30+ days ago·More...View all Spotify jobs in New York, NY - New York jobsSalary Search: Associate Data Scientist, Ads salaries in New York, NYSee popular questions & answers about Spotify","job_ba6656ea6a71004d","Remote"
"62","Data Analyst","Flywheel Software","New York, NY 10018 (Garment District area)•Temporarily ","Build machine learning models on billions of data points.
 We are looking for an outstanding Associate Data Science Engineer that wants to learn how to combine…","Data AnalystFlywheel SoftwareNew York, NY 10018 (Garment District area)•Temporarily Remote$70,000 - $95,000 a yearEasily applyUrgently hiringBuild machine learning models on billions of data points.
 We are looking for an outstanding Associate Data Science Engineer that wants to learn how to combine…
Active 3 days ago·More...View all Flywheel Software jobs in New York, NY - New York jobsSalary Search: Data Analyst salaries in New York, NY","job_502af73b06d6d744","Remote"
"72","Data Scientist I","Simulmedia","New York, NY","Design, build and fine-tune machine learning models for prediction (e.g., of impression capacity) as well as optimization algorithms (e.g., for pacing delivery,…","newData Scientist ISimulmediaNew York, NYDesign, build and fine-tune machine learning models for prediction (e.g., of impression capacity) as well as optimization algorithms (e.g., for pacing delivery,…
Active 5 days ago·More...View all Simulmedia jobs in New York, NY - New York jobsSalary Search: Data Scientist I salaries in New York, NY","job_118822f5307cd5fd",""
"82","Sustainable Finance Geospatial Data Scientist","Morgan Stanley","New York, NY","Experience implementing machine learning algorithms of prediction and classification, particularly with regards to visual and near-infrared spectrum remote…","newSustainable Finance Geospatial Data ScientistMorgan Stanley3.9New York, NYExperience implementing machine learning algorithms of prediction and classification, particularly with regards to visual and near-infrared spectrum remote…
6 days ago·More...View all Morgan Stanley jobs in New York, NY - New York jobsSalary Search: Sustainable Finance Geospatial Data Scientist salaries in New York, NYSee popular questions & answers about Morgan Stanley","job_b8af097893f6f895",""
"92","Data Scientist - Delta One Strats","Morgan Stanley","New York, NY","Develop analytics by using cutting edge technology as well as principles of data science.
 The Equity Financing Products department acts as a strategic partner…","Data Scientist - Delta One StratsMorgan Stanley3.9New York, NYDevelop analytics by using cutting edge technology as well as principles of data science.
 The Equity Financing Products department acts as a strategic partner…
30+ days ago·More...View all Morgan Stanley jobs in New York, NY - New York jobsSalary Search: Data Scientist - Delta One Strats salaries in New York, NYSee popular questions & answers about Morgan Stanley","job_fa7d7f4161b68eeb",""
"102","Data Scientist I","WarnerMedia","New York, NY+2 locations","This is a collaborative role that will work alongside engineers, analysts, and data scientists to impact cross-functional teams of product managers; revenue,…","Data Scientist IWarnerMedia3.8New York, NY+2 locationsThis is a collaborative role that will work alongside engineers, analysts, and data scientists to impact cross-functional teams of product managers; revenue,…
30+ days ago·More...View all WarnerMedia jobs in New York, NY - New York jobsSalary Search: Data Scientist I salaries in New York, NYSee popular questions & answers about WarnerMedia","job_6599dd09618ba978",""
"112","Data Collection Analyst","Stats Perform","","If filled in UK: 25 days’ annual leave (increasing by 3 days after 3 years), single cover Private medical insurance*, Life Assurance (4x annual salary),…","Data Collection AnalystStats PerformRemoteIf filled in UK: 25 days’ annual leave (increasing by 3 days after 3 years), single cover Private medical insurance*, Life Assurance (4x annual salary),…
30+ days ago·More...View all Stats Perform jobs in Remote - Remote jobsSalary Search: Data Collection Analyst salaries in Remote","job_65dff01c1ea209ae","Remote"
"122","Research Operations Data Scientist","Citi","New York, NY","Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its…","newResearch Operations Data ScientistCiti3.9New York, NYAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its…
3 days ago·More...View all Citi jobs in New York, NY - New York jobsSalary Search: Research Operations Data Scientist salaries in New York, NYSee popular questions & answers about Citi","job_a27a8a7650f152dd",""
"132","Data Scientist","EXOS","","Lead and mentor other data scientists.
 Hands-on experience in big data, information retrieval, data mining and/or machine learning.","Data ScientistEXOS3.7Remote$120,000 - $150,000 a yearEasily applyResponsive employerLead and mentor other data scientists.
 Hands-on experience in big data, information retrieval, data mining and/or machine learning.
Active 6 days ago·More...View all EXOS jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in RemoteSee popular questions & answers about EXOS","job_234f98c285f0498f","Remote"
"142","Data Scientist","Square","New York, NY","4+ years of experience in quantitative analytics, data science, and analytical consulting.
 Partner with Data Engineering to implement analytics-specific data…","newData ScientistSquare3.7New York, NY4+ years of experience in quantitative analytics, data science, and analytical consulting.
 Partner with Data Engineering to implement analytics-specific data…
6 days ago·More...View all Square jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about Square","job_3d1423b971611088",""
"152","Data Scientist, Advanced Analytics","ADT Security Services","","The Customer Experience and Operations Department (CXO) Advanced Analytics team is focused on the creation of customer value through the use of data science and…","newData Scientist, Advanced AnalyticsADT Security Services3.3Remote$110,000 - $130,000 a yearEasily applyThe Customer Experience and Operations Department (CXO) Advanced Analytics team is focused on the creation of customer value through the use of data science and…
Active 5 days ago·More...View all ADT Security Services jobs in Remote - Remote jobsSalary Search: Data Scientist, Advanced Analytics salaries in RemoteSee popular questions & answers about ADT Security Services","job_e95e04eaf6cb086f","Remote"
"id3","Data Scientist, Advanced Analytics","ADT Security Services","","The Customer Experience and Operations Department (CXO) Advanced Analytics team is focused on the creation of customer value through the use of data science and…","newData Scientist, Advanced AnalyticsADT Security Services3.3Remote$110,000 - $130,000 a yearEasily applyThe Customer Experience and Operations Department (CXO) Advanced Analytics team is focused on the creation of customer value through the use of data science and…
Active 5 days ago·More...View all ADT Security Services jobs in Remote - Remote jobsSalary Search: Data Scientist, Advanced Analytics salaries in RemoteSee popular questions & answers about ADT Security Services","job_e95e04eaf6cb086f","Remote"
"23","Data Scientist","AllocateRite","Manhattan, NY","Strong knowledge of statistics and machine learning.
 Machine learning: 1 year (Preferred).
 Previous experience with at least two deep learning frameworks.","Data ScientistAllocateRiteManhattan, NY$125,000 - $150,000 a yearEasily applyStrong knowledge of statistics and machine learning.
 Machine learning: 1 year (Preferred).
 Previous experience with at least two deep learning frameworks.
Active 7 days ago·More...View all AllocateRite jobs in Manhattan, NY - Manhattan jobsSalary Search: Data Scientist salaries in Manhattan, NY","job_666ecdd269afda67",""
"33","Entry Level - Associate Data Scientist (Federal)","IBM","Washington, DC 20001 (Swampoodle area)","Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to…","newEntry Level - Associate Data Scientist (Federal)IBM3.9Washington, DC 20001 (Swampoodle area)Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to…
4 days ago·More...View all IBM jobs in Washington, DC - Washington jobsSalary Search: Entry Level - Associate Data Scientist (Federal) salaries in Washington, DCSee popular questions & answers about IBM","job_de83080efba74b3e",""
"43","Junior Data Scientist","Reonomy","New York, NY 10017 (Turtle Bay area)","100% coverage on medical, vision and dental health plans.
 Extract and combine data from multiple internal data sources, including data cleansing and noise…","Junior Data ScientistReonomyNew York, NY 10017 (Turtle Bay area)100% coverage on medical, vision and dental health plans.
 Extract and combine data from multiple internal data sources, including data cleansing and noise…
11 days ago·More...View all Reonomy jobs in New York, NY - New York jobsSalary Search: Junior Data Scientist salaries in New York, NY","job_8357d8c921f54652",""
"53","Quantitative Data Analyst & Data Scientist for Trading, Cryp...","Nexos Technologies Inc","Stamford, CT 06901 (Downtown area)•","Quantitative entrepreneurial New York/CT area fintech, asset management company seeking quantitative data analyst to help develop, manage and design data…","Quantitative Data Analyst & Data Scientist for Trading, Cryp...Nexos Technologies IncStamford, CT 06901 (Downtown area)•Remote$75,026 - $182,979 a yearEasily applyQuantitative entrepreneurial New York/CT area fintech, asset management company seeking quantitative data analyst to help develop, manage and design data…
Active 12 days ago·More...View all Nexos Technologies Inc jobs in Stamford, CT - Stamford jobsSalary Search: Quantitative Data Analyst & Data Scientist for Trading, Crypto, Risk Firm salaries in Stamford, CT","job_65a612b94428e5d4","Remote"
"63","Data Scientist/Analytics Entry Level Full Time Positions","Cummins Inc.","Columbus, IN•","Applies machine learning and machine learning tools on data and metadata to improve data quality.
 Develops data profiles for data tables and elements in the…","Data Scientist/Analytics Entry Level Full Time PositionsCummins Inc.3.9Columbus, IN•RemoteApplies machine learning and machine learning tools on data and metadata to improve data quality.
 Develops data profiles for data tables and elements in the…
26 days ago·More...View all Cummins Inc. jobs in Columbus, IN - Columbus jobsSalary Search: Data Scientist/Analytics Entry Level Full Time Positions salaries in Columbus, INSee popular questions & answers about Cummins Inc.","job_44ab675983c2b0fd","Remote"
"73","Data Scientist","Noom US","New York, NY•","We offer a generous budget for personal development expenses like training courses, conferences, and books.
 You'll get three weeks' paid vacation and a flexible…","Data ScientistNoom US3.9New York, NY•RemoteEasily applyWe offer a generous budget for personal development expenses like training courses, conferences, and books.
 You'll get three weeks' paid vacation and a flexible…
30+ days ago·More...View all Noom US jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about Noom US","job_1c4380354c6d3589","Remote"
"83","Junior Data Scientist","Datatron Technologies","California•","You will interact with fellow data scientists in different enterprises to understand what and how they deploy, how to effectively manage the necessary…","newJunior Data ScientistDatatron TechnologiesCalifornia•RemoteEasily applyYou will interact with fellow data scientists in different enterprises to understand what and how they deploy, how to effectively manage the necessary…
4 days ago·More...View all Datatron Technologies jobs in California - California jobsSalary Search: Junior Data Scientist salaries in California","job_579531fbf5c97578","Remote"
"93","Machine Learning Engineer","Stitch Fix","California•","Collaborate with data scientists on a variety of sophisticated machine learning algorithms.
 You will get the opportunity to work with data scientists and…","newMachine Learning EngineerStitch Fix3.1California•RemoteCollaborate with data scientists on a variety of sophisticated machine learning algorithms.
 You will get the opportunity to work with data scientists and…
Just posted·More...View all Stitch Fix jobs in California - California jobsSalary Search: Machine Learning Engineer salaries in CaliforniaSee popular questions & answers about Stitch Fix","job_a81e30daab610524","Remote"
"103","Data Scientist","skapare","Dallas, TX•","\*Present information using data visualization techniques.
 \*Ability to visualize data in the most effective way possible for a given project or study.","newData ScientistskapareDallas, TX•Remote$45 - $60 an hourEasily apply\*Present information using data visualization techniques.
 \*Ability to visualize data in the most effective way possible for a given project or study.
Active 2 days ago·More...View all skapare jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist salaries in Dallas, TX","job_c9888e34ece8e79a","Remote"
"113","Staff Data Scientist - Match Recommendations","Indeed","+4 locations","Mentor and grow other software engineers, data scientists, and ML engineers across teams.
 Have the desire to solve difficult problems at the intersection of…","newStaff Data Scientist - Match RecommendationsIndeed4.3+4 locationsRemote$187,000 - $270,000 a yearEasily applyMentor and grow other software engineers, data scientists, and ML engineers across teams.
 Have the desire to solve difficult problems at the intersection of…
7 days ago·More...View all Indeed jobs in Remote - Remote jobsSalary Search: Staff Data Scientist - Match Recommendations salaries in RemoteSee popular questions & answers about Indeed","job_48f60143af2adc0b","Remote"
"123","Data Scientist","Kyndryl","United States","Select a suitable tool for the analytics solution or working with data.
 Broad and deep data and analytics skills such classification, communication, creativity,…","newData ScientistKyndrylUnited States$147,000 - $227,000 a yearSelect a suitable tool for the analytics solution or working with data.
 Broad and deep data and analytics skills such classification, communication, creativity,…
6 days ago·More...View all Kyndryl jobs in United States - United States jobsSalary Search: Data Scientist salaries in United States","job_a9ce3c4ce327ee6b",""
"133","Data Scientist","Emerge IT Solutions, LLC","","Enhancing data collection procedures to include information that is relevant for building analytic systems.
 Extending company’s data with third party sources of…","Data ScientistEmerge IT Solutions, LLCRemote$50 - $55 an hourEasily applyResponsive employerUrgently hiringEnhancing data collection procedures to include information that is relevant for building analytic systems.
 Extending company’s data with third party sources of…
Active 1 day ago·More...View all Emerge IT Solutions, LLC jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_0f5169f62370aa30","Remote"
